,In,Out,Test,Blah,Hmm,Email,domain,provider,is_valid,is_reachable,is_billable,mailbox_status,status,score
59,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,True,active,invalid,5
60,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,True,active,valid,14
61,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,True,inactive,invalid,90
62,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,False,inactive,valid,7
63,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,True,inactive,valid,25
64,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,active,valid,44
65,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,True,active,unknown,39
66,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,False,inactive,valid,88
67,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,True,inactive,valid,19
68,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,inactive,unknown,81
69,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,active,invalid,85
70,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,False,active,unknown,60
71,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,False,inactive,valid,68
72,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,False,inactive,valid,44
73,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,True,active,unknown,20
74,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,False,inactive,invalid,78
75,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,active,unknown,69
76,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,inactive,invalid,21
77,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,False,active,invalid,15
78,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,active,valid,67
79,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,False,active,invalid,7
80,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,False,inactive,valid,30
81,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,inactive,invalid,14
82,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,active,unknown,4
83,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,True,inactive,valid,69
84,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,inactive,invalid,37
85,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,active,valid,91
86,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,True,inactive,invalid,38
87,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,False,active,invalid,79
88,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,inactive,valid,74
89,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,active,valid,84
90,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,True,active,unknown,72
91,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,False,active,invalid,44
92,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,True,inactive,unknown,57
93,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,inactive,valid,89
94,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,False,inactive,valid,72
95,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,False,inactive,invalid,83
96,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,True,inactive,valid,3
97,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,False,inactive,unknown,77
98,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,True,inactive,valid,51
99,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,False,inactive,unknown,73
100,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,inactive,unknown,71
101,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,True,inactive,unknown,39
102,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,inactive,valid,85
103,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,True,inactive,invalid,56
104,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,False,active,valid,13
105,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,active,valid,13
106,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,False,active,valid,54
107,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,False,active,unknown,73
108,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,active,invalid,40
109,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,inactive,unknown,48
110,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,True,inactive,valid,64
111,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,True,active,invalid,74
112,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,active,valid,11
113,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,active,unknown,98
114,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,inactive,invalid,19
115,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,False,active,valid,45
116,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,False,active,invalid,65
117,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,False,active,unknown,89
118,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,False,active,valid,21
119,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,True,inactive,invalid,30
120,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,active,unknown,97
121,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,True,active,invalid,62
122,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,True,inactive,valid,86
123,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,active,unknown,27
124,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,False,inactive,valid,82
125,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,False,inactive,valid,57
126,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,inactive,invalid,25
127,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,True,inactive,unknown,94
128,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,inactive,invalid,67
129,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,False,inactive,unknown,17
130,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,False,inactive,valid,99
131,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,inactive,unknown,31
132,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,True,inactive,invalid,13
133,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,False,inactive,unknown,57
134,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,False,active,valid,6
135,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,inactive,unknown,18
136,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,True,active,unknown,24
137,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,inactive,unknown,42
138,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,True,active,invalid,94
139,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,False,inactive,valid,82
140,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,inactive,invalid,38
141,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,False,inactive,invalid,82
142,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,False,active,valid,10
143,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,True,active,unknown,52
144,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,False,inactive,invalid,97
145,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,inactive,valid,50
146,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,inactive,valid,10
147,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,True,active,unknown,82
148,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,inactive,invalid,98
149,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,True,active,invalid,46
150,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,inactive,valid,84
151,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,True,inactive,unknown,18
152,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,False,active,unknown,39
153,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,True,inactive,valid,75
154,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,active,unknown,95
155,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,True,inactive,unknown,14
156,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,False,active,invalid,16
157,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,active,unknown,28
158,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,inactive,valid,43
159,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,False,inactive,valid,3
160,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,inactive,unknown,81
161,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,True,inactive,invalid,72
162,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,active,invalid,97
163,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,True,inactive,invalid,37
164,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,inactive,invalid,20
165,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,True,active,invalid,41
166,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,True,inactive,invalid,13
167,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,True,active,invalid,8
168,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,inactive,valid,79
169,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,inactive,valid,89
170,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,inactive,invalid,82
171,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,active,valid,15
172,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,active,invalid,43
173,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,True,active,unknown,85
174,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,active,invalid,89
175,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,active,valid,70
176,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,inactive,invalid,82
177,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,True,active,valid,40
178,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,False,active,invalid,71
179,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,active,invalid,35
180,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,False,inactive,invalid,87
181,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,False,inactive,valid,39
182,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,False,active,unknown,21
183,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,True,inactive,invalid,32
184,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,False,inactive,invalid,72
185,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,inactive,invalid,56
186,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,True,inactive,invalid,99
187,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,inactive,unknown,86
188,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,inactive,invalid,21
189,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,True,inactive,invalid,44
190,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,active,unknown,91
191,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,False,active,unknown,50
192,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,inactive,valid,91
193,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,False,inactive,valid,20
194,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,False,inactive,unknown,89
195,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,True,inactive,unknown,54
196,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,True,inactive,valid,93
197,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,active,unknown,4
198,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,active,valid,56
199,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,active,invalid,56
200,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,True,active,invalid,15
201,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,inactive,unknown,8
202,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,inactive,invalid,77
203,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,inactive,valid,27
204,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,True,inactive,valid,65
205,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,active,valid,90
206,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,active,valid,63
207,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,active,invalid,31
208,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,False,active,invalid,68
209,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,active,unknown,53
210,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,active,unknown,6
211,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,inactive,valid,1
212,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,True,inactive,unknown,61
213,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,False,active,valid,10
214,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,active,unknown,8
215,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,True,active,unknown,99
216,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,active,unknown,12
217,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,True,active,unknown,81
218,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,inactive,invalid,89
219,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,True,inactive,invalid,81
220,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,False,active,unknown,80
221,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,True,active,unknown,3
222,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,False,active,invalid,32
223,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,False,active,invalid,40
224,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,active,invalid,12
225,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,False,active,unknown,56
226,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,False,inactive,valid,18
227,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,True,active,invalid,14
228,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,inactive,unknown,18
229,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,True,active,valid,74
230,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,False,active,valid,77
231,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,False,inactive,invalid,94
232,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,True,active,invalid,80
233,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,True,inactive,invalid,26
